'FindOrbRounding.nearestNat_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'FindOrbRounding.nearestNat_upper' depends on axioms: [propext, Classical.choice, Quot.sound]
'FindOrbRounding.nearestNat_error' depends on axioms: [propext, Classical.choice, Quot.sound]
'FindOrbRounding.nearestNat_half_even' depends on axioms: [propext, Classical.choice, Quot.sound]
'FindOrbRounding.exists_nearest' depends on axioms: [propext, Classical.choice, Quot.sound]
'FindOrbRounding.nearestEven_is_nearest' depends on axioms: [propext, Classical.choice, Quot.sound]
'FindOrbRounding.nearestEven_tie_policy' depends on axioms: [propext, Classical.choice, Quot.sound]
'FindOrbRounding.roundFormat_le_candidate' depends on axioms: [propext, Classical.choice, Quot.sound]
'FindOrbRounding.signed_zero_quotient' depends on axioms: [propext, Classical.choice, Quot.sound]
'FindOrbRounding.roundFormat_exact' depends on axioms: [propext, Classical.choice, Quot.sound]
